mnemonic,format,type,description,action
VLE,        I,  MEM.VLOAD,         Load Vector,                            {rd} <-- mem({rs1} + {imm})[63:0]
VSE,        S,  MEM.VSTR,          Store Vector,                           mem({rs1} + {imm}) <-- {rs2}[63:0]
VFADD.S,    R,  VFLOAT.ADD.SP,     Vector-Vector FP addition,              {rd} <-- {rs1} + {rs2}
VFSUB.S,    R,  VFLOAT.ADD.SP,     Vector-Vector FP substraction,          {rd} <-- {rs1} - {rs2} 
VFMUL.S,    R,  VFLOAT.MUL.SP,     Vector-Vector multiplication,           {rd} <-- {rs1} x {rs2} 
VFMADD.S,   R4, VFLOAT.FMA.SP,     Vector-Vector fused multiply addition,  {rd} <-- {rs1} x {rs2} + {rs3}
VFADD.D,    R,  VFLOAT.ADD.DP,     Vector-Vector FP addition,              {rd} <-- {rs1} + {rs2}
VFSUB.D,    R,  VFLOAT.ADD.DP,     Vector-Vector FP substraction,          {rd} <-- {rs1} - {rs2} 
VFMUL.D,    R,  VFLOAT.MUL.DP,     Vector-Vector multiplication,           {rd} <-- {rs1} x {rs2} 
VFMADD.D,   R4, VFLOAT.FMA.DP,     Vector-Vector fused multiply addition,  {rd} <-- {rs1} x {rs2} + {rs3}

